一	1709	4.628449623123045
一万	1	0.0
一万兆	1	0.0
一万兆瓦	1	0.0
一下	3	0.9182958340544896
一下子	1	0.0
一下子建	1	0.0
一下子建立	1	0.0
一两	1	0.0
一两年	1	0.0
一两年可	1	0.0
一两年可活	1	0.0
一严	1	0.0
一严重	1	0.0
一串	5	1.5219280948873621
一串信	2	0.0
一串信号	2	0.0
一串光	2	0.0
一串光波	2	0.0
一串胶	1	0.0
一串胶子	1	0.0
一临	4	0.0
一临界	4	1.5
一临界值	1	0.0
一临界半	2	0.0
一临界半径	2	0.0
一临界速	1	0.0
一临界速率	1	0.0
一书	7	1.4488156357251847
一书中	3	0.9182958340544896
一书中明	1	0.0
一书中明白	1	0.0
一书所	1	0.0
一书所需	1	0.0
一争	1	0.0
一争端	1	0.0
一事	18	0.9910760598382222
一事件	10	1.5709505944546687
一事件可	2	1.0
一事件可由	1	0.0
一事件可赋	1	0.0
一事件处	1	0.0
一事件我	1	0.0
一事件我们	1	0.0
一事实	8	1.061278124459133
一事实可	1	0.0
一事实可以	1	0.0
一事实意	1	0.0
一事实意味	1	0.0
一些	61	4.9317914856030916
一些专	1	0.0
一些专家	1	0.0
一些人	7	2.2359263506290326
一些人则	1	0.0
一些人已	1	0.0
一些人已经	1	0.0
一些人推	2	0.0
一些人推广	2	0.0
一些人首	1	0.0
一些人首先	1	0.0
一些任	1	0.0
一些任意	1	0.0
一些任意元	1	0.0
一些使	1	0.0
一些使其	1	0.0
一些使其惊	1	0.0
一些其	1	0.0
一些其他	1	0.0
一些其他情	1	0.0
一些具	1	0.0
一些具有	1	0.0
一些具有大	1	0.0
一些区	2	0.0
一些区域	2	1.0
一些区域刚	1	0.0
一些区域膨	1	0.0
一些原	3	1.584962500721156
一些原先	1	0.0
一些原子	1	0.0
一些原子因	1	0.0
一些原料	1	0.0
一些告	1	0.0
一些告诉	1	0.0
一些告诉我	1	0.0
一些小	1	0.0
一些小孩	1	0.0
一些弦	1	0.0
一些弦之	1	0.0
一些弦之间	1	0.0
一些恒	1	0.0
一些恒星	1	0.0
一些恒星接	1	0.0
一些我	1	0.0
一些我们	1	0.0
一些我们头	1	0.0
一些或	1	0.0
一些或全	1	0.0
一些或全部	1	0.0
一些指	1	0.0
一些指定	1	0.0
一些无	1	0.0
一些无规	1	0.0
一些无规性	1	0.0
一些早	1	0.0
一些早先	1	0.0
一些星	2	0.0
一些星系	2	0.0
一些星系为	2	1.0
一些显	1	0.0
一些显著	1	0.0
一些更	1	0.0
一些更精	1	0.0
一些更精致	1	0.0
一些最	1	0.0
一些最新	1	0.0
一些最新突	1	0.0
一些物	1	0.0
一些物质	1	0.0
一些物质粒	1	0.0
一些特	1	0.0
一些特征	1	0.0
一些特征已	1	0.0
一些理	1	0.0
一些理论	1	0.0
一些电	1	0.0
一些电子	1	0.0
一些电子组	1	0.0
一些看	1	0.0
一些看起	1	0.0
一些看起来	1	0.0
一些等	1	0.0
一些等同	1	0.0
一些简	1	0.0
一些简单	1	0.0
一些粒	2	0.0
一些粒子	2	1.0
一些粒子打	1	0.0
一些粒子那	1	0.0
一些纸	1	0.0
一些纸片	1	0.0
一些纸片团	1	0.0
一些而	1	0.0
一些联	1	0.0
一些联结	1	0.0
一些规	1	0.0
一些规律	1	0.0
一些规律性	1	0.0
一些解	2	0.0
一些误	1	0.0
一些误差	1	0.0
一些误差会	1	0.0
一些质	1	0.0
一些质子	1	0.0
一些超	1	0.0
一些超自	1	0.0
一些超自然	1	0.0
一些量	1	0.0
一些闪	1	0.0
一些闪光	1	0.0
一些非	1	0.0
一些非凡	1	0.0
一代	2	1.0
一代代	1	0.0
一代恒	1	0.0
一代恒星	1	0.0
一代恒星提	1	0.0
一件	8	0.9544340029249649
一件东	5	0.0
一件东西	5	0.0
一件事	3	1.584962500721156
一件事情	1	0.0
一件事所	1	0.0
一件事所影	1	0.0
一伽	1	0.0
一伽玛	1	0.0
一伽玛射	1	0.0
一伽玛射线	1	0.0
一位	32	4.003928031846025
一位传	1	0.0
一位剑	1	0.0
一位剑桥	1	0.0
